TimeStamp, GSRValue
37:16:461,151
37:16:580,150
37:16:600,151
37:16:621,151
37:16:641,151
37:16:661,151
37:16:682,151
37:16:702,151
37:16:722,151
37:16:744,151
37:16:764,151
37:16:784,151
37:16:805,151
37:16:825,151
37:16:845,151
37:16:867,151
37:16:887,152
37:16:908,151
37:16:928,151
37:16:948,151
37:16:969,151
37:16:990,151
37:17:010,151
37:17:030,151
37:17:051,152
37:17:071,152
37:17:092,151
37:17:112,152
37:17:133,152
37:17:153,152
37:17:173,152
37:17:194,152
37:17:215,152
37:17:235,151
37:17:251,152
37:17:271,151
37:17:293,151
37:17:313,152
37:17:333,151
37:17:354,152
37:17:374,151
37:17:395,151
37:17:415,151
37:17:436,151
37:17:456,152
37:17:477,151
37:17:497,152
37:17:517,152
37:17:538,151
37:17:559,151
37:17:579,152
37:17:600,151
37:17:620,152
37:17:640,151
37:17:661,152
37:17:681,152
37:17:702,152
37:17:722,152
37:17:743,152
37:17:763,152
37:17:784,153
37:17:804,152
37:17:825,152
37:17:845,152
37:17:865,152
37:17:886,152
37:17:907,152
37:17:927,151
37:17:948,151
37:17:968,152
37:17:988,151
37:18:008,151
37:18:030,152
37:18:050,151
37:18:071,151
37:18:091,151
37:18:112,151
37:18:132,151
37:18:152,151
37:18:173,151
37:18:193,151
37:18:214,150
37:18:234,151
37:18:255,151
37:18:275,150
37:18:295,151
37:18:316,150
37:18:337,151
37:18:357,150
37:18:377,151
37:18:398,151
37:18:419,151
37:18:439,151
37:18:460,151
37:18:480,150
37:18:500,151
37:18:520,151
37:18:542,151
37:18:562,151
37:18:583,151
37:18:603,152
37:18:623,151
37:18:644,151
37:18:664,151
37:18:685,152
37:18:705,151
37:18:726,151
37:18:746,151
37:18:763,151
37:18:783,150
37:18:804,150
37:18:824,150
37:18:845,150
37:18:865,150
37:18:885,150
37:18:906,150
37:18:927,151
37:18:947,151
37:18:967,150
37:18:988,151
37:19:009,151
37:19:029,151
37:19:049,150
37:19:069,151
37:19:090,150
37:19:110,150
37:19:131,151
37:19:152,150
37:19:172,151
37:19:193,151
37:19:213,150
37:19:234,151
37:19:254,150
37:19:275,151
37:19:295,150
37:19:316,151
37:19:336,151
37:19:357,152
37:19:377,151
37:19:398,152
37:19:418,151
37:19:438,151
37:19:459,151
37:19:479,151
37:19:500,150
37:19:520,150
37:19:541,150
37:19:562,150
37:19:581,150
37:19:602,149
37:19:623,149
37:19:643,149
37:19:664,149
37:19:684,149
37:19:705,150
37:19:725,150
37:19:745,150
37:19:766,150
37:19:786,150
37:19:807,150
37:19:827,150
37:19:848,150
37:19:868,150
37:19:889,150
37:19:910,151
37:19:930,151
37:19:950,151
37:19:971,151
37:19:991,151
37:20:012,151
37:20:033,151
37:20:053,151
37:20:073,151
37:20:093,151
37:20:114,151
37:20:134,152
37:20:151,151
37:20:172,151
37:20:192,151
37:20:212,151
37:20:233,150
37:20:253,150
37:20:274,150
37:20:295,150
37:20:315,150
37:20:335,150
37:20:356,150
37:20:376,150
37:20:397,150
37:20:418,150
37:20:438,151
37:20:458,150
37:20:478,150
37:20:499,150
37:20:520,150
37:20:540,151
37:20:561,150
37:20:581,150
37:20:602,151
37:20:622,151
37:20:642,151
37:20:663,150
37:20:684,151
37:20:704,151
37:20:724,151
37:20:744,151
37:20:766,151
37:20:786,151
37:20:806,151
37:20:827,151
37:20:848,151
37:20:868,151
37:20:889,151
37:20:909,151
37:20:930,151
37:20:950,151
37:20:970,151
37:20:991,151
37:21:011,151
37:21:032,151
37:21:052,151
37:21:072,151
37:21:093,151
37:21:114,150
37:21:134,151
37:21:154,151
37:21:175,150
37:21:195,151
37:21:216,151
37:21:236,151
37:21:256,152
37:21:278,151
37:21:297,151
37:21:318,151
37:21:335,151
37:21:359,151
37:21:375,151
37:21:396,151
37:21:417,151
37:21:437,151
37:21:458,151
37:21:478,151
37:21:499,151
37:21:519,151
37:21:539,151
37:21:560,151
37:21:580,151
37:21:601,151
37:21:621,151
37:21:642,151
37:21:662,151
37:21:683,151
37:21:704,151
37:21:724,151
37:21:744,151
37:21:765,151
37:21:785,151
37:21:806,151
37:21:826,151
37:21:847,151
37:21:867,151
37:21:888,151
37:21:908,151
37:21:929,151
37:21:949,151
37:21:970,151
37:21:990,151
37:22:011,151
37:22:031,151
37:22:051,151
37:22:072,151
37:22:092,150
37:22:113,151
37:22:134,151
37:22:154,151
37:22:174,151
37:22:194,151
37:22:215,151
37:22:236,151
37:22:256,151
37:22:277,151
37:22:298,151
37:22:318,152
37:22:338,151
37:22:358,151
37:22:379,151
37:22:399,151
37:22:420,151
37:22:440,152
37:22:461,151
37:22:481,151
37:22:502,151
37:22:522,151
37:22:543,151
37:22:563,151
37:22:584,151
37:22:604,152
37:22:625,151
37:22:645,151
37:22:666,151
37:22:687,151
37:22:707,151
37:22:727,151
37:22:748,151
37:22:768,151
37:22:784,151
37:22:809,151
37:22:826,150
37:22:846,151
37:22:867,150
37:22:887,150
37:22:908,151
37:22:928,151
37:22:949,151
37:22:969,151
37:22:990,151
37:23:010,152
37:23:030,151
37:23:051,151
37:23:072,152
37:23:092,151
37:23:112,151
37:23:133,151
37:23:153,151
37:23:173,151
37:23:194,151
37:23:215,151
37:23:235,151
37:23:256,151
37:23:276,152
37:23:297,152
37:23:317,152
37:23:337,152
37:23:358,152
37:23:379,152
37:23:399,152
37:23:419,151
37:23:440,152
37:23:461,152
37:23:481,152
37:23:501,153
37:23:522,152
37:23:542,152
37:23:563,151
37:23:584,152
37:23:603,152
37:23:624,152
37:23:645,152
37:23:665,151
37:23:686,152
37:23:706,151
37:23:727,152
37:23:747,151
37:23:768,151
37:23:788,152
37:23:808,151
37:23:829,151
37:23:850,151
37:23:870,152
37:23:891,151
37:23:911,151
37:23:931,151
37:23:952,151
37:23:973,151
37:23:993,151
37:24:014,151
37:24:034,151
37:24:054,151
37:24:075,151
37:24:096,151
37:24:116,151
37:24:137,151
37:24:156,151
37:24:177,152
37:24:197,152
37:24:218,152
37:24:238,256
37:24:259,152
37:24:279,151
37:24:296,152
37:24:317,151
37:24:337,152
37:24:357,152
37:24:378,151
37:24:398,152
37:24:419,152
37:24:439,152
37:24:460,151
37:24:480,151
37:24:501,151
37:24:521,151
37:24:541,151
37:24:562,151
37:24:582,152
37:24:603,151
37:24:624,152
37:24:644,151
37:24:665,151
37:24:685,152
37:24:706,151
37:24:726,151
37:24:747,151
37:24:766,151
37:24:788,151
37:24:808,150
37:24:829,150
37:24:849,150
37:24:869,150
37:24:890,150
37:24:911,150
37:24:931,150
37:24:951,151
37:24:971,151
37:24:992,150
37:25:012,151
37:25:034,150
37:25:053,151
37:25:074,152
37:25:095,151
37:25:116,151
37:25:136,151
37:25:156,151
37:25:176,151
37:25:197,152
37:25:217,152
37:25:238,152
37:25:258,152
37:25:279,152
37:25:300,152
37:25:320,152
37:25:340,152
