TimeStamp, GSRValue
08:27:956,94
08:28:079,92
08:28:100,92
08:28:121,92
08:28:141,91
08:28:161,91
08:28:182,91
08:28:203,91
08:28:223,91
08:28:244,91
08:28:264,90
08:28:280,91
08:28:301,90
08:28:321,90
08:28:342,90
08:28:363,90
08:28:382,90
08:28:403,90
08:28:423,90
08:28:444,89
08:28:465,89
08:28:485,89
08:28:506,89
08:28:526,89
08:28:546,89
08:28:567,90
08:28:588,90
08:28:608,90
08:28:629,89
08:28:649,90
08:28:669,91
08:28:690,90
08:28:711,91
08:28:731,90
08:28:751,90
08:28:771,91
08:28:792,90
08:28:813,90
08:28:833,90
08:28:854,90
08:28:874,90
08:28:894,90
08:28:915,90
08:28:936,90
08:28:956,90
08:28:976,90
08:28:997,91
08:29:018,91
08:29:034,91
08:29:054,90
08:29:075,91
08:29:095,90
08:29:116,91
08:29:137,90
08:29:157,91
08:29:177,91
08:29:198,91
08:29:219,90
08:29:238,90
08:29:260,90
08:29:279,90
08:29:300,90
08:29:321,90
08:29:341,90
08:29:362,89
08:29:382,90
08:29:403,89
08:29:423,89
08:29:444,88
08:29:464,88
08:29:484,88
08:29:504,87
08:29:525,87
08:29:546,86
08:29:567,86
08:29:586,85
08:29:607,85
08:29:627,85
08:29:649,84
08:29:668,84
08:29:689,83
08:29:710,83
08:29:730,82
08:29:750,82
08:29:771,81
08:29:791,81
08:29:808,80
08:29:829,80
08:29:849,79
08:29:870,79
08:29:890,78
08:29:910,78
08:29:930,78
08:29:951,77
08:29:972,76
08:29:992,76
08:30:012,76
08:30:033,76
08:30:053,76
08:30:074,75
08:30:095,75
08:30:115,75
08:30:136,76
08:30:157,75
08:30:176,75
08:30:197,74
08:30:218,74
08:30:238,74
08:30:258,73
08:30:279,73
08:30:299,73
08:30:320,73
08:30:340,73
08:30:361,73
08:30:381,72
08:30:402,73
08:30:423,73
08:30:443,72
08:30:463,73
08:30:484,72
08:30:504,72
08:30:520,72
08:30:541,71
08:30:561,71
08:30:582,72
08:30:603,71
08:30:623,71
08:30:643,71
08:30:664,70
08:30:685,71
08:30:705,71
08:30:725,71
08:30:746,71
08:30:766,70
08:30:787,71
08:30:807,70
